Course ID,College ID,Name,Type,Description,Credits,Semester
BIO101,IIITD,Foundations of Biology,BIO,"The objective of this course is to provide an introduction to the foundations of biology including the chemistry of life, cellular mechanisms, genetics and mechanisms of evolution.",4,Winter
BIO211,IIITD,Cell Biology and Bio-Chemistry,BIO,"The aim of this basic core course is to provide students a decent background in cell biology and biochenmistry. The major focus is to a) cover most important concepts in cell biology like structure and functions of cell, proteins, and signal transduction mechanisms
b) cover biological thermodynamics, enzyme kinetics and metabolism and finally c) solve qualitative and quantitative problems",2,Monsoon
BIO213,IIITD,Introduction to Quantitative Biology,BIO,"This course will discuss some fundamental aspects of ecological, evolutionary, genetics, and epidemic models as studied by quantitative approaches. Simple mathematical and computational tools will be taken up to carry out quantitative analysis of biological systems. In addition, students will be introduced to MATLAB. Assignments and project work will include quantitative study and data analysis for biological processes (using MATLAB).",4,Winter
BIO214,IIITD,Genetics and Molecular Biology,BIO,"The aim of this basic core course is to provide students a good background in genetics, molecular biology. The major focus is to acquaint students with quantitative aspect of different kind of genetic inheritance and horizontal transfers. The course is also to provide introduction about different aspect of molecular aspect of gene regulation.",4,Monsoon
BIO221,IIITD,Practical Bioinformatics,BIO,"This objective of this course is to provide introduction to modern biology, data-oriented questions, and training in application of computational techniques for data analysis. Apart from providing conceptual understanding of important topics in bioinformatics, the focus is on hands-on training in implementation of techniques. Through combination of lectures, exercises, assignments and presentations, the student is expected to achieve practical understanding of bioinformatics techniques.",4,Winter
BIO321,IIITD,Algorithms in Bioinformatics,BIO,"This course introduces undergraduates to the outstanding promise of applied algorithmics in the field of molecular biology and human health. The course aims to bridge the gap between algorithmic thinking and biological problem-solving. As part of this course, the students will be encouraged to design algorithms and apply on real biological datasets to gain fundamental insights into biological systems/diseases. The students will get an opportunity to deep dive into the vibrant realm of high throughput molecular biology through the lense of multi-omics data analysis.",4,Monsoon
BIO361,IIITD,Biophysics,BIO,"This biophysics course shall delve into concepts of physics acting upon biomolecules, primarily proteins. From understanding protein folding to predicting 3-dimension structures from the 1-dimension sequence, the course shall involve assignments that shall give the students the neccessary knowledge to deal with structural problems.",4,Monsoon
BIO506,IIITD,Stochastic Simulations in Systems Biology and Biophysics,BIO,"This course will introduce students to stochastic simulations as used in solving biological probelms. It will emphasize kinetic Monte Carlo simulations that are able to capture dynamical aspects (such as in cellular phenotype generation), complex details in biological problems (such as spatial heterogeneity) and fluctuation effects. We plan to discuss stochastic modeling of important cellular (as mediated by regulatory networks) and immunological processes and biomedical applications.",4,Monsoon
BIO511,IIITD,Cell Biology and Bio-Chemistry,BIO,"The aim of this basic core course is to provide students a decent background in cell biology and biochenmistry. The major focus is to a) cover most important concepts in cell biology like structure and functions of cell, proteins, and signal transduction mechanisms
b) cover biological thermodynamics, enzyme kinetics and metabolism and finally c) solve qualitative and quantitative problems.",4,Monsoon
BIO512,IIITD,Foundations of Modern Biology,BIO,"The aim of this basic core course is to provide students a good background in genetics and molecular biology. The major focus is to a) cover most important concepts in genetics like Mendelian laws, linkage and recombination b) cover molecular mechanisms of gene expression and c) solve qualitative and quantitative problems in population and evolutionary genetics.",4,Monsoon
BIO522,IIITD,Algorithms in Computational Biology,BIO,"This is an introductory course on algorithms for computational biology. The goal is to make students familiar with the
basics of algorithm designing techniques and their application in solving problems of molecular biology. Students will be trained for developing their own algorithms for solving real life biological problems. Hands on training will be given for commonly used softwares for genomic data analysis.",4,Monsoon
BIO523,IIITD,Chemoinformatics,BIO,"The objective of this course is to provide introduction to chemoinformatics, an interdisciplinary area on the interface of chemistry, informatics and biology. The student will be provided with understanding of fundamentals of chemoinformatics and its applications. Through lectures, hands-on exercises and assignments, the student is expected to achieve a good grasp of the concepts and applications of chemoinformatics.",4,Winter
BIO531,IIITD,Introduction to Mathematical Biology,BIO,The aim of this course is to introduce mathematics as applied in quantitative study of biological systems and biological data analysis. Use of ordinary and partial differential equations (ODEs) will be emphasized in this course. Both exact and numerical solutions will be discussed. We also plan to briefly introduce dynamical systems analysis for ODEs.,4,Winter
BIO532,IIITD,Network Biology,BIO,"The objective of this course is to provide introduction to network biology, an emerging interdisciplinary area which aims at graph theoretical modeling of biological complex systems and its applications. The student will be provided with conceptual understanding of complex networks and their application for modeling various biological systems. Through a combination of lectures, exercises, and assignments, the student is expected to achieve understanding of network biology.",4,Monsoon
BIO533,IIITD,Systems and Synthetic Biology,BIO,This course introduces systems and synthetic biology to students with interest in applying mathematical techniques to biological problem. The main aim of this course is to train students to build mathematical models of complex biological systems and make predictions about the functions of the biological systems in-silico under various conditions. They will also learn conditions to build synthetic circuit in-silico to optimize its functions under various scenarios.,4,Winter
BIO534,IIITD,Introduction to Computational Neuroscience,BIO,"This introductory neuroscience provides basic understanding of neuronal systems and their respective mathematical models that describes the behavior of the neurons under various conditions. The aim of this course is to encourage Computational biology students to diversify into the area of neuroscience. This course in not about neural networks and machine learning, but about the use of the tools of dynamical systems theory to undertand oscillatory properties of single cell neurons. Nonlinear ODE and PDE models will be constructed, analyzed and simulated using MATLAB to understand different firing patterns of the neuronal systems under normal and pathalogical conditions.",4,Winter
BIO541,IIITD,Data Sciences for Genomics,BIO,"The field of Genomics is expanding its horizon with help of high throughput technologies. Scientist are trying to answer fundamental
questions related to health, society and human survival outside earth using genomics. With such increase of applications, it constantly needs computational experts for systematic analysis of data and acheiving meaning full insights. Infact the computational experts have now started taking lead in genomic projects. Hence this course is meant to guide students for data analysis approach and steps involved in computational genomics and make them familiar with latest development in genomics.",4,Winter
BIO542,IIITD,Machine Learning for Biomedical Applications,BIO,"This course is designed for students having wide range of background like biology, medical science, pharmacology, bioinformatics, computer science. This course is divided in following three sections; i) Major challenges in the field of biomedical science, ii) Introduction/implementation of machine learning techniques for developing prediction models, and iii) solving biomedical problems using machine learning techniques. This course will be help students in developing novel methods for solving real-life problems in the field of biological and health sciences. Attempt will made to bridge gap between students and world class researchers, studentds will be exposed to highly accurate methods based on machine learning techniques (research papers).",4,Monsoon
BIO543,IIITD,Big Data Mining in Healthcare,BIO,"There is a exponential growth of data in the field of biological, medical and clinical scineces. Aim of this course is to taught implementation of data mining techniques in healthcare, to solve health-related problems. In this course, students will learn techniques for managing and mining big data. It will be broadly divided in four parts; first part will cover various repositories or databases in the field of medical and biological data. In second part, students will be introduced with techniques comonly used to analyze and manage big data. Implementation of techniques using Python will be covered in third phase of this course. Finally, students will learn how to solve health-related problems using knowldge based discovery approach.",4,Winter
BIO544,IIITD,Computational Gastronomy,BIO,"This course is designed to provide an introduction to the emerging science of Computational Gastronomy, a blend of food, data science and computational techniques. Following are the specific objectives that the course aims to fulfil: (a) Introduction to the science of food; (b) Exposition to culinary data; (c) Analysis and visualization of culinary data (statistical analysis, text mining, natural language processing, machine learning);(d) Exposure to challenges and opportunities",4,Monsoon
BIO545,IIITD,Biostatistics,BIO,The main aim of this elective course is to provide students a good background in Quantitative Biology and enabling them to implement various statistical methods in analyzing biological data and its visualization. The course will also provide basic introduction of applied biostatistics.,4,Winter
